ID,Name,Title,Blurb,Partype,Attack,Defense,Magic,Difficulty,HP,HP_per_Level,MP,MP_per_Level,Move_Speed,Armor,Armor_per_Level,Spell_Block,Spell_Block_per_Level,Attack_Range,HP_Regen,HP_Regen_per_Level,MP_Regen,MP_Regen_per_Level,Crit,Crit_per_Level,Attack_Damage,Attack_Damage_per_Level,Attack_Speed_per_Level,Attack_Speed,Tags
Aatrox,Aatrox,the Darkin Blade,"Once honored defenders of Shurima against the Void, Aatrox and his brethren would eventually become an even greater threat to Runeterra, and were defeated only by cunning mortal sorcery. But after centuries of imprisonment, Aatrox was the first to find...",Blood Well,8,4,3,4,650,114,0,0.0,345,38,4.8,32,2.05,175,3.0,0.5,0.0,0.0,0,0,60,5.0,2.5,0.651,Fighter
Ahri,Ahri,the Nine-Tailed Fox,"Innately connected to the magic of the spirit realm, Ahri is a fox-like vastaya who can manipulate her prey's emotions and consume their essence—receiving flashes of their memory and insight from each soul she consumes. Once a powerful yet wayward...",Mana,3,4,8,5,590,104,418,25.0,330,21,4.7,30,1.3,550,2.5,0.6,8.0,0.8,0,0,53,3.0,2.2,0.668,Mage
Akali,Akali,the Rogue Assassin,"Abandoning the Kinkou Order and her title of the Fist of Shadow, Akali now strikes alone, ready to be the deadly weapon her people need. Though she holds onto all she learned from her master Shen, she has pledged to defend Ionia from its enemies, one...",Energy,5,3,8,7,600,119,200,0.0,345,23,4.7,37,2.05,125,9.0,0.9,50.0,0.0,0,0,62,3.3,3.2,0.625,Assassin
Akshan,Akshan,the Rogue Sentinel,"Raising an eyebrow in the face of danger, Akshan fights evil with dashing charisma, righteous vengeance, and a conspicuous lack of shirts. He is highly skilled in the art of stealth combat, able to evade the eyes of his enemies and reappear when they...",Mana,0,0,0,0,630,107,350,40.0,330,26,4.7,30,1.3,500,3.75,0.65,8.2,0.7,0,0,52,3.0,4.0,0.638,Marksman
Alistar,Alistar,the Minotaur,"Always a mighty warrior with a fearsome reputation, Alistar seeks revenge for the death of his clan at the hands of the Noxian empire. Though he was enslaved and forced into the life of a gladiator, his unbreakable will was what kept him from truly...",Mana,6,9,5,7,685,120,350,40.0,330,47,4.7,32,2.05,125,8.5,0.85,8.5,0.8,0,0,62,3.75,2.125,0.625,Tank
Ambessa,Ambessa,Matriarch of War,"All who know the name Medarda respect and fear the family's leader, Ambessa. As a Noxian general, she embodies a deadly combination of ruthless strength and fearless resolve in battle. Her role as matriarch is no different, requiring great cunning to...",Energy,9,2,0,10,630,110,200,0.0,335,35,4.9,32,2.05,125,8.5,0.75,50.0,0.0,0,0,63,3.0,2.5,0.625,Fighter
Amumu,Amumu,the Sad Mummy,"Legend claims that Amumu is a lonely and melancholy soul from ancient Shurima, roaming the world in search of a friend. Doomed by an ancient curse to remain alone forever, his touch is death, his affection ruin. Those who claim to have seen him describe...",Mana,2,6,8,3,685,94,285,40.0,335,33,4.0,32,2.05,125,9.0,0.85,7.4,0.55,0,0,57,3.8,2.18,0.736,Tank
Anivia,Anivia,the Cryophoenix,"Anivia is a benevolent winged spirit who endures endless cycles of life, death, and rebirth to protect the Freljord. A demigod born of unforgiving ice and bitter winds, she wields those elemental powers to thwart any who dare disturb her homeland...",Mana,1,4,10,10,550,92,495,45.0,325,21,4.5,30,1.3,600,5.5,0.55,8.0,0.8,0,0,51,3.2,1.68,0.658,Mage
Annie,Annie,the Dark Child,"Dangerous, yet disarmingly precocious, Annie is a child mage with immense pyromantic power. Even in the shadows of the mountains north of Noxus, she is a magical outlier. Her natural affinity for fire manifested early in life through unpredictable...",Mana,2,3,10,6,560,102,418,25.0,335,19,4.7,30,1.3,625,5.5,0.55,8.0,0.8,0,0,50,2.65,1.36,0.61,Mage
Aphelios,Aphelios,the Weapon of the Faithful,"Emerging from moonlight's shadow with weapons drawn, Aphelios kills the enemies of his faith in brooding silence—speaking only through the certainty of his aim, and the firing of each gun. Though fueled by a poison that renders him mute, he is guided by...",Mana,6,2,1,10,600,102,348,42.0,325,26,4.2,30,1.3,550,3.25,0.55,6.5,0.4,0,0,55,2.3,2.1,0.64,Marksman
Ashe,Ashe,the Frost Archer,"Iceborn warmother of the Avarosan tribe, Ashe commands the most populous horde in the north. Stoic, intelligent, and idealistic, yet uncomfortable with her role as leader, she taps into the ancestral magics of her lineage to wield a bow of True Ice...",Mana,7,3,2,4,610,101,280,35.0,325,26,4.6,30,1.3,600,3.5,0.55,7.0,0.65,0,0,59,2.95,3.33,0.658,Marksman
AurelionSol,AurelionSol,The Star Forger,"Aurelion Sol once graced the vast emptiness of the cosmos with celestial wonders of his own devising. Now, he is forced to wield his awesome power at the behest of a space-faring empire that tricked him into servitude. Desiring a return to his...",Mana,2,3,8,7,600,90,530,40.0,335,22,4.0,30,1.3,550,5.5,0.55,8.0,0.75,0,0,58,3.2,1.5,0.625,Mage
